"","KGISDist_1","HR"
"1","Bagalkot","Bidar-Bellary"
"2","Ballari","Bidar-Bellary"
"3","Belagavi","Belgaum-Shimoga"
"4","Bengaluru (Rural)","Bangalore-Kolar"
"5","Bengaluru (Urban)","Bangalore-Kolar"
"6","Bidar","Bidar-Bellary"
"7","Chamarajanagara","Chitradurga-Mysore"
"8","Chikkaballapura","Bangalore-Kolar"
"9","Chikkamagaluru","Chitradurga-Mysore"
"10","Chitradurga","Chitradurga-Mysore"
"11","Dakshina Kannada","UttaraKannada-DakshinKannada"
"12","Davanagere","Belgaum-Shimoga"
"13","Dharwad","Belgaum-Shimoga"
"14","Gadag","Belgaum-Shimoga"
"15","Hassan","Chitradurga-Mysore"
"16","Haveri","Belgaum-Shimoga"
"17","Kalburgi","Bidar-Bellary"
"18","Kodagu","Chitradurga-Mysore"
"19","Kolara","Bangalore-Kolar"
"20","Koppal","Bidar-Bellary"
"21","Mandya","Chitradurga-Mysore"
"22","Mysuru","Chitradurga-Mysore"
"23","Raichur","Bidar-Bellary"
"24","Ramanagara","Bangalore-Kolar"
"25","Shivamogga","Belgaum-Shimoga"
"26","Tumakuru","Chitradurga-Mysore"
"27","Udupi","UttaraKannada-DakshinKannada"
"28","Uttara Kannada","UttaraKannada-DakshinKannada"
"29","Vijayanagara","Bidar-Bellary"
"30","Vijayapura","Bidar-Bellary"
"31","Yadgir","Bidar-Bellary"
